rxnid,Yield
test357,0.6781
test358,0.5931
test359,0.7723
test360,0.6531
test361,0.5003
test362,0.7164
test363,0.6541
test364,0.7743
test365,0.4873
test366,0.5911
test367,0.6133
test368,0.6322
test369,0.7114
test370,0.5201
test371,0.7207
test372,0.4764
test373,0.4688
test374,0.3970
test375,0.5494
test376,0.4877
test377,0.6400
test378,0.6916
test379,0.5098
test380,0.7215
test381,0.5760
test382,0.2729
test383,0.6371
test384,0.5505
test385,0.6456
test386,0.4863
test387,0.7276
test388,0.6963
test389,0.4487
test390,0.6819
test391,0.6915
test392,0.5789
test393,0.7151
test394,0.6724
test395,0.5334
test396,0.6778
test397,0.7063
test398,0.4648
test399,0.4866
test400,0.4774
test401,0.6485
test402,0.6785
test403,0.7071
test404,0.6471
test405,0.6682
test406,0.7112
test407,0.6821
test408,0.6871
test409,0.4193
test410,0.6798
test411,0.6400
test412,0.7009
test413,0.5795
test414,0.7091
test415,0.5502
test416,0.5159
test417,0.5242
test418,0.6455
test419,0.6458
test420,0.7037
test421,0.5757
test422,0.4104
test423,0.7299
test424,0.6921
test425,0.6073
test426,0.5944
test427,0.6661
test428,0.7024
test429,0.5391
test430,0.3636
test431,0.5005
test432,0.5575
test433,0.6885
test434,0.6043
test435,0.7136
test436,0.6414
test437,0.6419
test438,0.6692
test439,0.6023
test440,0.6404
test441,0.7540
test442,0.6685
test443,0.7236
test444,0.6069
test445,0.4330
test446,0.6272
test447,0.3848
test448,0.6662
test449,0.5721
test450,0.7357
test451,0.4865
test452,0.7046
test453,0.6358
test454,0.7346
test455,0.7421
test456,0.5776
test457,0.6379
test458,0.6427
test459,0.6768
test460,0.6492
test461,0.5756
test462,0.5940
test463,0.6866
test464,0.6730
test465,0.6585
test466,0.3787
test467,0.6393
test468,0.5985
test469,0.4760
test470,0.7707
test471,0.4993
test472,0.6923
test473,0.5012
test474,0.5672
test475,0.7037
test476,0.6899
test477,0.5887
test478,0.4950
test479,0.6655
test480,0.4419
test481,0.6466
test482,0.6478
test483,0.4549
test484,0.5606
test485,0.4411
test486,0.7213
test487,0.6749
test488,0.5018
test489,0.7161
test490,0.7190
test491,0.7075
test492,0.6272
test493,0.5695
test494,0.6425
test495,0.6802
test496,0.5771
test497,0.5607
test498,0.6798
test499,0.6227
test500,0.6819
test501,0.7343
test502,0.6265
test503,0.7221
test504,0.6869
test505,0.6129
test506,0.6843
test507,0.6627
test508,0.6491
test509,0.5523
test510,0.5775
test511,0.7153
test512,0.6074
test513,0.6627
test514,0.7004
test515,0.7221
test516,0.6868
test517,0.5750
test518,0.7274
test519,0.5767
test520,0.3625
test521,0.4485
test522,0.6080
test523,0.7096
test524,0.5564
test525,0.5427
test526,0.3985
test527,0.4323
test528,0.6845
test529,0.6589
test530,0.5123
test531,0.6694
test532,0.6844
test533,0.5147
test534,0.6318
test535,0.4313
test536,0.6548
test537,0.7149
test538,0.5900
test539,0.5588
test540,0.5542
test541,0.7260
test542,0.6498
test543,0.5848
test544,0.6139
test545,0.6471
test546,0.7021
test547,0.6231
test548,0.6991
test549,0.5404
test550,0.5474
test551,0.6999
test552,0.4888
test553,0.5421
test554,0.4973
test555,0.5335
test556,0.3808
test557,0.6452
test558,0.4002
test559,0.6567
test560,0.6271
test561,0.7182
test562,0.6961
test563,0.6113
test564,0.6477
test565,0.5090
test566,0.6340
test567,0.4636
test568,0.7161
test569,0.6090
test570,0.5636
test571,0.6882
test572,0.5947
test573,0.5556
test574,0.4552
test575,0.4594
test576,0.6172
test577,0.5339
test578,0.5576
test579,0.6497
test580,0.6661
test581,0.6491
test582,0.6627
test583,0.6519
test584,0.6299
test585,0.5276
test586,0.4461
test587,0.6168
test588,0.4949
test589,0.4959
test590,0.2917
test591,0.7063
test592,0.5341
test593,0.5878
test594,0.5247
test595,0.7067
test596,0.5378
test597,0.5414
test598,0.6600
test599,0.5683
test600,0.6498
test601,0.5593
test602,0.6825
test603,0.6608
test604,0.6872
test605,0.6147
test606,0.6087
test607,0.6134
test608,0.7116
test609,0.7948
test610,0.5088
test611,0.7038
test612,0.6799
test613,0.7239
test614,0.6322
test615,0.5989
test616,0.6663
test617,0.5268
test618,0.4295
test619,0.5639
test620,0.6792
test621,0.5468
test622,0.5498
test623,0.5763
test624,0.6137
test625,0.5436
test626,0.5409
test627,0.3399
test628,0.3720
test629,0.5172
test630,0.7263
test631,0.4364
test632,0.6918
test633,0.5655
test634,0.6876
test635,0.6388
test636,0.6348
test637,0.7240
test638,0.6275
test639,0.6348
test640,0.7009
test641,0.6421
test642,0.6079
test643,0.6598
test644,0.5612
test645,0.5646
test646,0.6970
test647,0.6428
test648,0.5792
test649,0.6267
test650,0.5230
test651,0.5244
test652,0.7023
test653,0.3671
test654,0.6564
test655,0.7045
test656,0.6328
test657,0.5625
test658,0.8042
test659,0.3422
test660,0.6395
test661,0.6894
test662,0.6850
test663,0.6000
test664,0.7038
test665,0.5778
test666,0.5718
test667,0.7054
test668,0.6233
test669,0.6894
test670,0.7272
test671,0.6017
test672,0.6499
test673,0.6318
test674,0.6863
test675,0.7110
test676,0.7124
test677,0.7088
test678,0.7117
test679,0.5944
test680,0.7123
test681,0.7041
test682,0.6271
test683,0.6359
test684,0.7114
test685,0.5405
test686,0.5861
test687,0.7253
test688,0.3424
test689,0.7220
test690,0.7127
test691,0.5737
test692,0.5882
test693,0.5968
test694,0.5800
test695,0.6667
test696,0.7060
test697,0.6613
test698,0.7156
test699,0.5443
test700,0.5797
test701,0.5457
test702,0.6869
test703,0.6925
test704,0.1756
test705,0.6924
test706,0.5779
test707,0.7141
test708,0.6023
test709,0.5475
test710,0.6051
test711,0.7046
test712,0.5585
test713,0.5854
test714,0.5678
test715,0.7390
test716,0.7070
test717,0.7448
test718,0.7708
test719,0.6527
test720,0.7286
test721,0.4983
test722,0.5990
test723,0.7109
test724,0.6657
test725,0.6955
test726,0.6481
test727,0.6728
test728,0.4619
test729,0.7121
test730,0.6582
test731,0.6086
test732,0.6832
test733,0.5411
test734,0.6793
test735,0.6267
test736,0.6785
test737,0.5520
test738,0.6761
test739,0.6466
test740,0.7142
test741,0.7984
test742,0.5417
test743,0.6740
test744,0.6375
test745,0.6986
test746,0.7080
test747,0.7193
test748,0.6865
test749,0.6361
test750,0.7933
test751,0.5520
test752,0.6804
test753,0.6499
test754,0.6524
test755,0.7249
test756,0.5386
test757,0.5578
test758,0.7423
test759,0.6645
test760,0.6695
test761,0.5378
test762,0.6564
test763,0.5744
test764,0.7401
test765,0.6873
test766,0.6671
test767,0.4282
test768,0.7109
test769,0.7267
test770,0.7063
test771,0.7217
test772,0.7208
test773,0.6095
test774,0.7135
test775,0.6373
test776,0.4958
test777,0.6521
test778,0.6946
test779,0.7076
test780,0.6686
test781,0.5795
test782,0.6802
test783,0.6605
test784,0.6876
test785,0.6624
test786,0.6693
test787,0.6515
test788,0.7040
test789,0.6905
test790,0.7342
test791,0.5779
test792,0.6903
test793,0.5754
test794,0.6253
test795,0.5030
test796,0.6970
test797,0.5859
test798,0.7074
test799,0.6172
test800,0.7250
test801,0.6326
test802,0.4939
test803,0.7217
test804,0.7347
test805,0.7295
test806,0.5193
test807,0.6845
test808,0.7580
test809,0.4783
test810,0.6739
test811,0.6256
test812,0.6336
test813,0.6106
test814,0.5822
test815,0.6563
test816,0.3733
test817,0.6600
test818,0.6038
test819,0.7221
test820,0.5992
test821,0.6896
test822,0.7310
test823,0.6489
test824,0.7123
test825,0.5127
test826,0.7035
test827,0.7243
test828,0.7922
test829,0.8034
test830,0.6323
test831,0.5801
test832,0.6622
test833,0.4317
test834,0.7444
test835,0.6246
test836,0.5431
test837,0.7689
test838,0.7276
test839,0.7781
test840,0.6146
test841,0.6573
test842,0.5903
test843,0.5677
test844,0.7101
test845,0.6222
test846,0.6429
test847,0.6186
test848,0.6871
test849,0.7674
test850,0.6481
test851,0.5675
test852,0.4416
test853,0.6867
test854,0.7443
test855,0.6801
test856,0.6843
test857,0.6019
test858,0.7018
test859,0.7003
test860,0.5257
test861,0.6848
test862,0.5922
test863,0.6777
test864,0.7217
test865,0.7172
test866,0.7340
test867,0.6078
test868,0.7240
test869,0.6683
test870,0.6829
test871,0.6940
test872,0.6061
test873,0.4979
test874,0.4849
test875,0.6727
test876,0.7146
test877,0.5676
test878,0.7381
test879,0.5647
test880,0.6095
test881,0.7185
test882,0.6994
test883,0.6584
test884,0.6595
test885,0.4487
test886,0.7140
test887,0.6379
test888,0.6129
test889,0.5473
test890,0.7210
test891,0.4470
test892,0.5211
test893,0.6123
test894,0.6195
test895,0.6766
test896,0.7158
test897,0.6284
test898,0.6447
test899,0.7741
test900,0.8271
test901,0.6961
test902,0.7807
test903,0.4934
test904,0.6375
test905,0.5861
test906,0.5800
test907,0.5789
test908,0.6367
test909,0.5905
test910,0.7144
test911,0.4673
test912,0.2787
test913,0.8029
test914,0.6837
test915,0.3553
test916,0.6722
test917,0.2743
test918,0.7592
test919,0.5994
test920,0.6000
test921,0.5639
test922,0.6979
test923,0.7062
test924,0.5673
test925,0.7313
test926,0.2903
test927,0.5621
test928,0.6330
test929,0.7501
test930,0.5930
test931,0.7267
test932,0.6081
test933,0.6756
test934,0.6902
test935,0.8053
test936,0.6728
test937,0.3274
test938,0.7847
test939,0.7295
test940,0.6086
test941,0.5429
test942,0.8014
test943,0.5924
test944,0.6108
test945,0.4613
test946,0.5697
test947,0.6083
test948,0.7096
test949,0.7040
test950,0.5172
test951,0.7374
test952,0.5038
test953,0.6817
test954,0.7251
test955,0.5728
test956,0.4783
test957,0.7056
test958,0.7135
test959,0.5638
test960,0.4740
test961,0.5189
test962,0.4535
test963,0.3588
test964,0.6649
test965,0.7316
test966,0.6481
test967,0.5128
test968,0.6800
test969,0.6859
test970,0.6003
test971,0.6234
test972,0.6132
test973,0.6473
test974,0.5819
test975,0.7360
test976,0.7383
test977,0.6987
test978,0.4859
test979,0.6749
test980,0.5583
test981,0.3153
test982,0.7742
test983,0.6912
test984,0.5982
test985,0.4782
test986,0.6368
test987,0.6829
test988,0.5726
test989,0.5938
test990,0.6972
test991,0.7021
test992,0.5844
test993,0.6827
test994,0.7030
test995,0.5744
test996,0.5332
test997,0.5255
test998,0.6603
test999,0.7158
test1000,0.6673
test1001,0.7100
test1002,0.5602
test1003,0.6961
test1004,0.6811
test1005,0.6921
test1006,0.6324
test1007,0.7372
test1008,0.6460
test1009,0.6427
test1010,0.6770
test1011,0.7125
test1012,0.4661
test1013,0.7216
test1014,0.4604
test1015,0.6601
test1016,0.7234
test1017,0.5976
test1018,0.4532
test1019,0.6635
test1020,0.5110
test1021,0.6076
test1022,0.6798
test1023,0.6997
test1024,0.7389
test1025,0.7165
test1026,0.5328
test1027,0.7048
test1028,0.7331
test1029,0.7089
test1030,0.7210
test1031,0.5842
test1032,0.6818
test1033,0.4445
test1034,0.5724
test1035,0.2980
test1036,0.7222
test1037,0.5642
test1038,0.7222
test1039,0.6625
test1040,0.7652
test1041,0.7130
test1042,0.7004
test1043,0.7279
test1044,0.5417
test1045,0.6481
test1046,0.7197
test1047,0.6767
test1048,0.6069
test1049,0.6324
test1050,0.8014
test1051,0.4648
test1052,0.6642
test1053,0.4760
test1054,0.6848
test1055,0.7161
test1056,0.6648
test1057,0.7006
test1058,0.5073
test1059,0.4181
test1060,0.4658
test1061,0.6196
test1062,0.6230
test1063,0.7399
test1064,0.5721
test1065,0.5701
test1066,0.5138
test1067,0.6188
test1068,0.6121
test1069,0.6896
test1070,0.6861
test1071,0.4959
test1072,0.6279
test1073,0.6325
test1074,0.7248
test1075,0.8196
test1076,0.5319
test1077,0.6466
test1078,0.6470
test1079,0.6223
test1080,0.6377
test1081,0.5810
test1082,0.7496
test1083,0.5694
test1084,0.7060
test1085,0.5992
test1086,0.5332
test1087,0.7183
test1088,0.6076
test1089,0.7249
test1090,0.7183
test1091,0.6489
test1092,0.6485
test1093,0.5839
test1094,0.5591
test1095,0.5982
test1096,0.5648
test1097,0.5149
test1098,0.7074
test1099,0.6329
test1100,0.5189
test1101,0.7243
test1102,0.6464
test1103,0.6559
test1104,0.7089
test1105,0.7067
test1106,0.4673
test1107,0.7386
test1108,0.7108
test1109,0.8052
test1110,0.7183
test1111,0.4326
test1112,0.6190
test1113,0.3233
test1114,0.5487
test1115,0.7306
test1116,0.5115
test1117,0.6114
test1118,0.4970
test1119,0.6528
test1120,0.6026
test1121,0.5791
test1122,0.3308
test1123,0.5371
test1124,0.7913
test1125,0.7121
test1126,0.5745
test1127,0.5573
test1128,0.6235
test1129,0.7739
test1130,0.5012
test1131,0.7163
test1132,0.6923
test1133,0.5348
test1134,0.4900
test1135,0.2567
test1136,0.6623
test1137,0.7947
test1138,0.7591
test1139,0.5924
test1140,0.6226
test1141,0.6020
test1142,0.5573
test1143,0.5535
test1144,0.5798
test1145,0.5673
test1146,0.6707
test1147,0.6004
test1148,0.7346
test1149,0.4696
test1150,0.7003
test1151,0.7758
test1152,0.6404
test1153,0.7214
test1154,0.7773
test1155,0.6842
test1156,0.6848
test1157,0.5331
test1158,0.5307
test1159,0.7012
test1160,0.6459
test1161,0.6236
test1162,0.3516
test1163,0.4930
test1164,0.7225
test1165,0.6465
test1166,0.6753
test1167,0.6746
test1168,0.6646
test1169,0.4082
test1170,0.6157
test1171,0.6649
test1172,0.3352
test1173,0.4149
test1174,0.5843
test1175,0.5196
test1176,0.5952
test1177,0.5365
test1178,0.6327
test1179,0.7218
test1180,0.5790
test1181,0.6715
test1182,0.6011
test1183,0.5970
test1184,0.8072
test1185,0.5547
test1186,0.5587
test1187,0.4540
test1188,0.6976
test1189,0.5427
test1190,0.7348
test1191,0.6031
test1192,0.6665
test1193,0.7114
test1194,0.5902
test1195,0.7099
test1196,0.7370
test1197,0.6824
test1198,0.6307
test1199,0.6851
test1200,0.4483
test1201,0.7861
test1202,0.5671
test1203,0.6051
test1204,0.6815
test1205,0.7320
test1206,0.7045
test1207,0.4795
test1208,0.6057
test1209,0.5062
test1210,0.6589
test1211,0.7243
test1212,0.6321
test1213,0.5256
test1214,0.5534
test1215,0.5182
test1216,0.6273
test1217,0.7180
test1218,0.7136
test1219,0.5271
test1220,0.5948
test1221,0.7347
test1222,0.8127
test1223,0.6083
test1224,0.4961
test1225,0.6466
test1226,0.6777
test1227,0.4407
test1228,0.7369
test1229,0.4388
test1230,0.6060
test1231,0.7434
test1232,0.6138
test1233,0.7135
test1234,0.6954
test1235,0.4129
test1236,0.6457
test1237,0.6487
test1238,0.7150
test1239,0.5112
test1240,0.7286
test1241,0.7105
test1242,0.5711
test1243,0.7404
test1244,0.5287
test1245,0.5896
test1246,0.5716
test1247,0.6526
test1248,0.6520
test1249,0.6772
test1250,0.4923
test1251,0.6931
test1252,0.3812
test1253,0.7035
test1254,0.7029
test1255,0.6687
test1256,0.7170
test1257,0.5122
test1258,0.5517
test1259,0.5935
test1260,0.6395
test1261,0.6638
test1262,0.7067
test1263,0.6372
test1264,0.5321
test1265,0.6766
test1266,0.5997
test1267,0.6624
test1268,0.7250
test1269,0.6285
test1270,0.6976
test1271,0.7376
test1272,0.6642
test1273,0.7222
test1274,0.5519
test1275,0.5620
test1276,0.6342
test1277,0.7075
test1278,0.4624
test1279,0.7468
test1280,0.5909
test1281,0.5188
test1282,0.6306
test1283,0.7086
test1284,0.6111
test1285,0.6527
test1286,0.6793
test1287,0.5538
test1288,0.7613
test1289,0.7283
test1290,0.6716
test1291,0.5893
test1292,0.6849
test1293,0.7014
test1294,0.7945
test1295,0.3429
test1296,0.7338
test1297,0.6807
test1298,0.6332
test1299,0.7672
test1300,0.7019
test1301,0.6349
test1302,0.6615
test1303,0.6229
test1304,0.7192
test1305,0.5976
test1306,0.7027
test1307,0.7133
test1308,0.6758
test1309,0.7211
test1310,0.6568
test1311,0.6655
test1312,0.7187
test1313,0.7049
test1314,0.7399
test1315,0.5861
test1316,0.7300
test1317,0.6925
test1318,0.6235
test1319,0.4641
test1320,0.5816
test1321,0.5383
test1322,0.6958
test1323,0.6629
test1324,0.6997
test1325,0.7109
test1326,0.5879
test1327,0.5173
test1328,0.6705
test1329,0.7231
test1330,0.7379
test1331,0.7383
test1332,0.5494
test1333,0.7990
test1334,0.7589
test1335,0.4283
test1336,0.4138
test1337,0.4545
test1338,0.6675
test1339,0.7045
test1340,0.3012
test1341,0.6470
test1342,0.7173
test1343,0.5701
test1344,0.8016
test1345,0.8006
test1346,0.5280
test1347,0.5663
test1348,0.7012
test1349,0.6928
test1350,0.7760
test1351,0.5324
test1352,0.7726
test1353,0.7849
test1354,0.7167
test1355,0.7180
test1356,0.6816
test1357,0.4443
test1358,0.6716
test1359,0.5901
test1360,0.6297
test1361,0.7193
test1362,0.4381
test1363,0.7355
test1364,0.5457
test1365,0.6988
test1366,0.6884
test1367,0.5825
test1368,0.6765
test1369,0.6696
test1370,0.5797
test1371,0.6849
test1372,0.7122
test1373,0.5807
test1374,0.6394
test1375,0.7567
test1376,0.6051
test1377,0.6488
test1378,0.6689
test1379,0.6638
test1380,0.6542
test1381,0.6304
test1382,0.5266
test1383,0.6217
test1384,0.7104
test1385,0.7176
test1386,0.6808
test1387,0.6294
test1388,0.6900
test1389,0.7024
test1390,0.3666
test1391,0.7023
test1392,0.6186
test1393,0.1966
test1394,0.7292
test1395,0.6840
test1396,0.5470
test1397,0.5639
test1398,0.5359
test1399,0.5247
test1400,0.5363
test1401,0.6907
test1402,0.7985
test1403,0.6114
test1404,0.6818
test1405,0.5947
test1406,0.3822
test1407,0.7058
test1408,0.6858
test1409,0.7001
test1410,0.5469
test1411,0.5970
test1412,0.7008
test1413,0.6436
test1414,0.4274
test1415,0.5222
test1416,0.6096
test1417,0.6897
test1418,0.4578
test1419,0.6343
test1420,0.5627
test1421,0.3333
test1422,0.7103
test1423,0.6817
test1424,0.7166
test1425,0.7984
test1426,0.5598
test1427,0.7306
test1428,0.7181
test1429,0.4622
test1430,0.4606
test1431,0.5918
test1432,0.6966
test1433,0.6662
test1434,0.7199
test1435,0.5624
test1436,0.5563
test1437,0.6164
test1438,0.6653
test1439,0.5426
test1440,0.5492
test1441,0.3068
test1442,0.5191
test1443,0.4611
test1444,0.5347
test1445,0.6149
test1446,0.5207
test1447,0.7100
test1448,0.5843
test1449,0.5983
test1450,0.6251
test1451,0.7609
test1452,0.7075
test1453,0.5243
test1454,0.5734
test1455,0.5402
test1456,0.6587
test1457,0.7037
test1458,0.5341
test1459,0.7130
test1460,0.6828
test1461,0.7103
test1462,0.6901
test1463,0.7504
test1464,0.7805
test1465,0.6470
test1466,0.6854
test1467,0.6704
test1468,0.5839
test1469,0.5301
test1470,0.6969
test1471,0.7536
test1472,0.6957
test1473,0.5943
test1474,0.5799
test1475,0.6197
test1476,0.5309
test1477,0.5378
test1478,0.5647
test1479,0.6896
test1480,0.7320
test1481,0.6920
test1482,0.6880
test1483,0.5117
test1484,0.7728
test1485,0.5465
test1486,0.6404
test1487,0.6257
test1488,0.6212
test1489,0.7370
test1490,0.5125
test1491,0.6740
test1492,0.8022
test1493,0.7906
test1494,0.5097
test1495,0.6927
test1496,0.5602
test1497,0.7615
test1498,0.5747
test1499,0.6942
test1500,0.6409
test1501,0.7882
test1502,0.7249
test1503,0.6605
test1504,0.7939
test1505,0.5054
test1506,0.6541
test1507,0.7062
test1508,0.6589
test1509,0.3499
test1510,0.5263
test1511,0.8047
test1512,0.3639
test1513,0.5209
test1514,0.5850
test1515,0.6926
test1516,0.6502
test1517,0.6679
test1518,0.5741
test1519,0.7076
test1520,0.7258
test1521,0.6757
test1522,0.5715
test1523,0.5513
test1524,0.5430
test1525,0.7711
test1526,0.7002
test1527,0.7474
test1528,0.7194
test1529,0.5802
test1530,0.6452
test1531,0.7201
test1532,0.5930
test1533,0.4532
test1534,0.6996
test1535,0.6430
test1536,0.4348
test1537,0.6800
test1538,0.5342
test1539,0.5493
test1540,0.6828
test1541,0.6759
test1542,0.7218
test1543,0.3235
test1544,0.6801
test1545,0.6230
test1546,0.6257
test1547,0.5918
test1548,0.5397
test1549,0.6253
test1550,0.8063
test1551,0.5634
test1552,0.5437
test1553,0.5442
test1554,0.7257
test1555,0.7344
test1556,0.7218
test1557,0.7035
test1558,0.5786
test1559,0.7091
test1560,0.6168
test1561,0.7279
test1562,0.5227
test1563,0.4746
test1564,0.7074
test1565,0.7136
test1566,0.6381
test1567,0.5689
test1568,0.5073
test1569,0.5636
test1570,0.6566
test1571,0.4845
test1572,0.5423
test1573,0.6442
test1574,0.6839
test1575,0.6246
test1576,0.3762
test1577,0.7063
test1578,0.3813
test1579,0.6777
test1580,0.5752
test1581,0.6362
test1582,0.5875
test1583,0.6169
test1584,0.6801
test1585,0.6291
test1586,0.6022
test1587,0.6233
test1588,0.6046
test1589,0.4869
test1590,0.6897
test1591,0.5921
test1592,0.5238
test1593,0.7080
test1594,0.4535
test1595,0.5862
test1596,0.5844
test1597,0.7937
test1598,0.6765
test1599,0.6638
test1600,0.6315
test1601,0.5608
test1602,0.6902
test1603,0.4247
test1604,0.6678
test1605,0.6208
test1606,0.7066
test1607,0.4484
test1608,0.5008
test1609,0.6294
test1610,0.6105
test1611,0.6090
test1612,0.6893
test1613,0.7714
test1614,0.5966
test1615,0.5337
test1616,0.7076
test1617,0.6736
test1618,0.6428
test1619,0.6742
test1620,0.6852
test1621,0.6822
test1622,0.7098
test1623,0.8087
test1624,0.6639
test1625,0.5330
test1626,0.6405
test1627,0.6426
test1628,0.7535
test1629,0.6258
test1630,0.5056
test1631,0.8053
test1632,0.6365
test1633,0.4826
test1634,0.6386
test1635,0.2740
test1636,0.6779
test1637,0.7791
test1638,0.6896
test1639,0.6657
test1640,0.7253
test1641,0.6967
test1642,0.6978
test1643,0.5832
test1644,0.5100
test1645,0.4401
test1646,0.6697
test1647,0.5713
test1648,0.6454
test1649,0.6105
test1650,0.6362
test1651,0.6391
test1652,0.5379
test1653,0.7127
test1654,0.6721
test1655,0.7092
test1656,0.6129
test1657,0.4780
test1658,0.7451
test1659,0.5820
test1660,0.4459
test1661,0.5660
test1662,0.6806
test1663,0.6486
test1664,0.5485
