rxnid,Yield
test649,0.6757
test650,0.5459
test651,0.5770
test652,0.7482
test653,0.3841
test654,0.6339
test655,0.8348
test656,0.7423
test657,0.6256
test658,0.7907
test659,0.3724
test660,0.5533
test661,0.6434
test662,0.7927
test663,0.5855
test664,0.6729
test665,0.5443
test666,0.5418
test667,0.6970
test668,0.5527
test669,0.7041
test670,0.8486
test671,0.5749
test672,0.6858
test673,0.5655
test674,0.6620
test675,0.6633
test676,0.8038
test677,0.7439
test678,0.7925
test679,0.6540
test680,0.7202
test681,0.7411
test682,0.6487
test683,0.5499
test684,0.7282
test685,0.5426
test686,0.4528
test687,0.7530
test688,0.3090
test689,0.8235
test690,0.7297
test691,0.7162
test692,0.5018
test693,0.5099
test694,0.6557
test695,0.8227
test696,0.7185
test697,0.6298
test698,0.7730
test699,0.5274
test700,0.6066
test701,0.6006
test702,0.6089
test703,0.7048
test704,0.2044
test705,0.7622
test706,0.5694
test707,0.6641
test708,0.5364
test709,0.4651
test710,0.5509
test711,0.6880
test712,0.4562
test713,0.5412
test714,0.5236
test715,0.6749
test716,0.7563
test717,0.7234
test718,0.7565
test719,0.6268
test720,0.8284
test721,0.5348
test722,0.6104
test723,0.7539
test724,0.6598
test725,0.7003
test726,0.4965
test727,0.7556
test728,0.4136
test729,0.8088
test730,0.5499
test731,0.6171
test732,0.7235
test733,0.5588
test734,0.7465
test735,0.6404
test736,0.7221
test737,0.5822
test738,0.6667
test739,0.6834
test740,0.7576
test741,0.7686
test742,0.5597
test743,0.7515
test744,0.5503
test745,0.7879
test746,0.6499
test747,0.7531
test748,0.6055
test749,0.6721
test750,0.7906
test751,0.5480
test752,0.7609
test753,0.6871
test754,0.6835
test755,0.7039
test756,0.5615
test757,0.5176
test758,0.7665
test759,0.7123
test760,0.6938
test761,0.4777
test762,0.6382
test763,0.5792
test764,0.6705
test765,0.6595
test766,0.7103
test767,0.3187
test768,0.7196
test769,0.7212
test770,0.7214
test771,0.8340
test772,0.7136
test773,0.4894
test774,0.6819
test775,0.6713
test776,0.4189
test777,0.5589
test778,0.6794
test779,0.7408
test780,0.6880
test781,0.5206
test782,0.7367
test783,0.5434
test784,0.7265
test785,0.6147
test786,0.7246
test787,0.5453
test788,0.7469
test789,0.5523
test790,0.7623
test791,0.5947
test792,0.8141
test793,0.5275
test794,0.5482
test795,0.4851
test796,0.7779
test797,0.5871
test798,0.6867
test799,0.6392
test800,0.7767
test801,0.6450
test802,0.4593
test803,0.6787
test804,0.7737
test805,0.5645
test806,0.5018
test807,0.7010
test808,0.6273
test809,0.4913
test810,0.7329
test811,0.5967
test812,0.5141
test813,0.5554
test814,0.5664
test815,0.6136
test816,0.5005
test817,0.7520
test818,0.6299
test819,0.8668
test820,0.5809
test821,0.6773
test822,0.6161
test823,0.6559
test824,0.8301
test825,0.5492
test826,0.6601
test827,0.7300
test828,0.8330
test829,0.7414
test830,0.6090
test831,0.4806
test832,0.7296
test833,0.5770
test834,0.6708
test835,0.5834
test836,0.6665
test837,0.8571
test838,0.8128
test839,0.7854
test840,0.6142
test841,0.5860
test842,0.3971
test843,0.6683
test844,0.7325
test845,0.6865
test846,0.6502
test847,0.6940
test848,0.6395
test849,0.8076
test850,0.6388
test851,0.6493
test852,0.4382
test853,0.5750
test854,0.8194
test855,0.5267
test856,0.6954
test857,0.5171
test858,0.7049
test859,0.6881
test860,0.5839
test861,0.7364
test862,0.5707
test863,0.7416
test864,0.7574
test865,0.7788
test866,0.7635
test867,0.6652
test868,0.6744
test869,0.7015
test870,0.7894
test871,0.7424
test872,0.6602
test873,0.4687
test874,0.4418
test875,0.6685
test876,0.8042
test877,0.4365
test878,0.8340
test879,0.6397
test880,0.6549
test881,0.6325
test882,0.6952
test883,0.5699
test884,0.7907
test885,0.3636
test886,0.8224
test887,0.6510
test888,0.6377
test889,0.4498
test890,0.7852
test891,0.4098
test892,0.4440
test893,0.6838
test894,0.6592
test895,0.6617
test896,0.7952
test897,0.7204
test898,0.6410
test899,0.7150
test900,0.8215
test901,0.6215
test902,0.7274
test903,0.4857
test904,0.6681
test905,0.5785
test906,0.5656
test907,0.5419
test908,0.7493
test909,0.5933
test910,0.8023
test911,0.4683
test912,0.2369
test913,0.8222
test914,0.6895
test915,0.3370
test916,0.7538
test917,0.3019
test918,0.6737
test919,0.5708
test920,0.5860
test921,0.6390
test922,0.6721
test923,0.8491
test924,0.6178
test925,0.7822
test926,0.2772
test927,0.6207
test928,0.6339
test929,0.7135
test930,0.5362
test931,0.8161
test932,0.6686
test933,0.6650
test934,0.8451
test935,0.8174
test936,0.7235
test937,0.3188
test938,0.7442
test939,0.7050
test940,0.5117
test941,0.5006
test942,0.8843
test943,0.6941
test944,0.6780
test945,0.4635
test946,0.5231
test947,0.6164
test948,0.6372
test949,0.7239
test950,0.4928
test951,0.7473
test952,0.4653
test953,0.5760
test954,0.8059
test955,0.6031
test956,0.4670
test957,0.7853
test958,0.7534
test959,0.6105
test960,0.4754
test961,0.5380
test962,0.4762
test963,0.3768
test964,0.6924
test965,0.8579
test966,0.6518
test967,0.4274
test968,0.7199
test969,0.7249
test970,0.7002
test971,0.6038
test972,0.6243
test973,0.5961
test974,0.7011
test975,0.7882
test976,0.7059
test977,0.6790
test978,0.4888
test979,0.6573
test980,0.5108
test981,0.4094
test982,0.7845
test983,0.7382
test984,0.5254
test985,0.4184
test986,0.5635
test987,0.7153
test988,0.6006
test989,0.6383
test990,0.7511
test991,0.7854
test992,0.5818
test993,0.6594
test994,0.7107
test995,0.5354
test996,0.5280
test997,0.4873
test998,0.6375
test999,0.6789
test1000,0.6898
test1001,0.6909
test1002,0.6022
test1003,0.5864
test1004,0.8143
test1005,0.7094
test1006,0.5908
test1007,0.8394
test1008,0.7892
test1009,0.6275
test1010,0.6806
test1011,0.7311
test1012,0.4528
test1013,0.7566
test1014,0.4453
test1015,0.6116
test1016,0.7768
test1017,0.4703
test1018,0.3367
test1019,0.6148
test1020,0.5260
test1021,0.5778
test1022,0.7862
test1023,0.7844
test1024,0.6673
test1025,0.6766
test1026,0.5683
test1027,0.7502
test1028,0.7851
test1029,0.6931
test1030,0.7921
test1031,0.7604
test1032,0.7304
test1033,0.5188
test1034,0.5608
test1035,0.3747
test1036,0.6543
test1037,0.6411
test1038,0.7297
test1039,0.6958
test1040,0.8519
test1041,0.7042
test1042,0.6886
test1043,0.7867
test1044,0.4641
test1045,0.7448
test1046,0.6922
test1047,0.6904
test1048,0.7047
test1049,0.6134
test1050,0.8923
test1051,0.4501
test1052,0.7256
test1053,0.4358
test1054,0.7333
test1055,0.6928
test1056,0.6416
test1057,0.7894
test1058,0.5980
test1059,0.3596
test1060,0.3379
test1061,0.5912
test1062,0.5610
test1063,0.7942
test1064,0.4782
test1065,0.5178
test1066,0.4634
test1067,0.6166
test1068,0.7071
test1069,0.7415
test1070,0.7028
test1071,0.4989
test1072,0.5484
test1073,0.5933
test1074,0.6688
test1075,0.8405
test1076,0.4283
test1077,0.7485
test1078,0.6458
test1079,0.5990
test1080,0.5817
test1081,0.5376
test1082,0.8860
test1083,0.6201
test1084,0.8439
test1085,0.6410
test1086,0.5121
test1087,0.7051
test1088,0.6283
test1089,0.6830
test1090,0.7678
test1091,0.6226
test1092,0.6643
test1093,0.5309
test1094,0.5182
test1095,0.6006
test1096,0.5449
test1097,0.6434
test1098,0.7620
test1099,0.6877
test1100,0.5174
test1101,0.7786
test1102,0.7028
test1103,0.6596
test1104,0.8016
test1105,0.6897
test1106,0.3883
test1107,0.7446
test1108,0.6428
test1109,0.8600
test1110,0.7924
test1111,0.3347
test1112,0.6346
test1113,0.2889
test1114,0.5342
test1115,0.8379
test1116,0.5320
test1117,0.8082
test1118,0.5556
test1119,0.7617
test1120,0.6550
test1121,0.6001
test1122,0.4319
test1123,0.4639
test1124,0.6908
test1125,0.7077
test1126,0.5901
test1127,0.5880
test1128,0.5999
test1129,0.8488
test1130,0.4215
test1131,0.7738
test1132,0.6378
test1133,0.5454
test1134,0.4714
test1135,0.2661
test1136,0.8193
test1137,0.8281
test1138,0.8347
test1139,0.5135
test1140,0.5632
test1141,0.5766
test1142,0.5634
test1143,0.5623
test1144,0.5783
test1145,0.5814
test1146,0.7568
test1147,0.5439
test1148,0.7653
test1149,0.4984
test1150,0.7109
test1151,0.8591
test1152,0.7126
test1153,0.7465
test1154,0.8622
test1155,0.5757
test1156,0.8200
test1157,0.5713
test1158,0.5622
test1159,0.7520
test1160,0.6261
test1161,0.6409
test1162,0.4771
test1163,0.5668
test1164,0.7965
test1165,0.7675
test1166,0.6824
test1167,0.6912
test1168,0.5965
test1169,0.3973
test1170,0.6724
test1171,0.7126
test1172,0.3432
test1173,0.3801
test1174,0.6307
test1175,0.5069
test1176,0.5898
test1177,0.5058
test1178,0.6816
test1179,0.7873
test1180,0.4191
test1181,0.6919
test1182,0.5630
test1183,0.6488
test1184,0.9253
test1185,0.5520
test1186,0.6598
test1187,0.4162
test1188,0.8013
test1189,0.5353
test1190,0.8050
test1191,0.6608
test1192,0.7960
test1193,0.7890
test1194,0.6604
test1195,0.6978
test1196,0.8335
test1197,0.7752
test1198,0.5308
test1199,0.5240
test1200,0.4080
test1201,0.7950
test1202,0.4794
test1203,0.5863
test1204,0.6961
test1205,0.8208
test1206,0.7205
test1207,0.4492
test1208,0.7016
test1209,0.4961
test1210,0.6524
test1211,0.6805
test1212,0.5693
test1213,0.6354
test1214,0.5407
test1215,0.5257
test1216,0.5455
test1217,0.7648
test1218,0.7518
test1219,0.4707
test1220,0.5690
test1221,0.8318
test1222,0.9135
test1223,0.6068
test1224,0.5020
test1225,0.6887
test1226,0.7354
test1227,0.3368
test1228,0.7728
test1229,0.5069
test1230,0.6076
test1231,0.7902
test1232,0.5752
test1233,0.7893
test1234,0.6232
test1235,0.5257
test1236,0.6569
test1237,0.7562
test1238,0.7063
test1239,0.5099
test1240,0.7494
test1241,0.7351
test1242,0.5681
test1243,0.8247
test1244,0.3895
test1245,0.5395
test1246,0.5471
test1247,0.6981
test1248,0.6196
test1249,0.5732
test1250,0.5093
test1251,0.7097
test1252,0.4833
test1253,0.6612
test1254,0.8149
test1255,0.7334
test1256,0.7371
test1257,0.4826
test1258,0.6183
test1259,0.5879
test1260,0.6542
test1261,0.6133
test1262,0.7293
test1263,0.6327
test1264,0.5580
test1265,0.6552
test1266,0.5858
test1267,0.7837
test1268,0.8074
test1269,0.6732
test1270,0.7491
test1271,0.7522
test1272,0.6009
test1273,0.8218
test1274,0.5538
test1275,0.5876
test1276,0.5882
test1277,0.7242
test1278,0.4456
test1279,0.6329
test1280,0.4974
test1281,0.4541
test1282,0.6208
test1283,0.6905
test1284,0.5980
test1285,0.7032
test1286,0.8096
test1287,0.6247
test1288,0.7807
test1289,0.7623
test1290,0.5000
test1291,0.6604
test1292,0.6315
test1293,0.7557
test1294,0.7924
test1295,0.3180
test1296,0.8022
test1297,0.8002
test1298,0.5259
test1299,0.7682
test1300,0.7111
test1301,0.6208
test1302,0.6398
test1303,0.6176
test1304,0.7129
test1305,0.5871
test1306,0.7561
test1307,0.6524
test1308,0.6906
test1309,0.6019
test1310,0.7119
test1311,0.7480
test1312,0.6899
test1313,0.7815
test1314,0.7677
test1315,0.5522
test1316,0.7528
test1317,0.7012
test1318,0.6543
test1319,0.5139
test1320,0.4884
test1321,0.4989
test1322,0.7295
test1323,0.7321
test1324,0.6564
test1325,0.7989
test1326,0.5561
test1327,0.5612
test1328,0.7112
test1329,0.8976
test1330,0.8420
test1331,0.7647
test1332,0.4637
test1333,0.7563
test1334,0.8551
test1335,0.4141
test1336,0.4284
test1337,0.4826
test1338,0.6927
test1339,0.7428
test1340,0.2966
test1341,0.6032
test1342,0.7444
test1343,0.4067
test1344,0.8717
test1345,0.7872
test1346,0.5490
test1347,0.5864
test1348,0.8076
test1349,0.7292
test1350,0.7693
test1351,0.4292
test1352,0.7555
test1353,0.7488
test1354,0.7760
test1355,0.7916
test1356,0.8157
test1357,0.3839
test1358,0.7184
test1359,0.7428
test1360,0.5422
test1361,0.6411
test1362,0.4886
test1363,0.7844
test1364,0.4954
test1365,0.6648
test1366,0.6500
test1367,0.5075
test1368,0.6713
test1369,0.5664
test1370,0.6870
test1371,0.8034
test1372,0.7473
test1373,0.5823
test1374,0.5589
test1375,0.7746
test1376,0.5326
test1377,0.6166
test1378,0.6957
test1379,0.6404
test1380,0.6461
test1381,0.6302
test1382,0.6035
test1383,0.6285
test1384,0.6931
test1385,0.8323
test1386,0.6639
test1387,0.4612
test1388,0.7363
test1389,0.6954
test1390,0.3410
test1391,0.6735
test1392,0.6714
test1393,0.1967
test1394,0.7154
test1395,0.6929
test1396,0.5532
test1397,0.4398
test1398,0.4636
test1399,0.4957
test1400,0.5722
test1401,0.6026
test1402,0.8152
test1403,0.5314
test1404,0.7453
test1405,0.6383
test1406,0.3970
test1407,0.7602
test1408,0.6846
test1409,0.7107
test1410,0.5618
test1411,0.5962
test1412,0.6909
test1413,0.6238
test1414,0.4414
test1415,0.4874
test1416,0.6245
test1417,0.5396
test1418,0.4426
test1419,0.6880
test1420,0.5619
test1421,0.3499
test1422,0.7144
test1423,0.8190
test1424,0.7925
test1425,0.7939
test1426,0.6961
test1427,0.6972
test1428,0.6192
test1429,0.4220
test1430,0.5530
test1431,0.5275
test1432,0.7598
test1433,0.6294
test1434,0.7399
test1435,0.6422
test1436,0.4737
test1437,0.5971
test1438,0.6724
test1439,0.5718
test1440,0.4465
test1441,0.3449
test1442,0.4626
test1443,0.4747
test1444,0.5160
test1445,0.5570
test1446,0.5248
test1447,0.6554
test1448,0.6307
test1449,0.6002
test1450,0.7658
test1451,0.7948
test1452,0.6706
test1453,0.5514
test1454,0.5450
test1455,0.4941
test1456,0.6102
test1457,0.8142
test1458,0.5183
test1459,0.6926
test1460,0.7763
test1461,0.8031
test1462,0.7147
test1463,0.7876
test1464,0.8384
test1465,0.5201
test1466,0.7359
test1467,0.6300
test1468,0.5336
test1469,0.5983
test1470,0.7336
test1471,0.7646
test1472,0.6871
test1473,0.5478
test1474,0.5113
test1475,0.6447
test1476,0.5398
test1477,0.5829
test1478,0.7166
test1479,0.7060
test1480,0.7297
test1481,0.7421
test1482,0.7132
test1483,0.4528
test1484,0.8340
test1485,0.6230
test1486,0.6009
test1487,0.6483
test1488,0.6270
test1489,0.7564
test1490,0.4977
test1491,0.6527
test1492,0.8981
test1493,0.8414
test1494,0.5515
test1495,0.7707
test1496,0.5147
test1497,0.6196
test1498,0.6744
test1499,0.7691
test1500,0.6403
test1501,0.7379
test1502,0.6626
test1503,0.6169
test1504,0.7966
test1505,0.3863
test1506,0.6557
test1507,0.7207
test1508,0.7333
test1509,0.4360
test1510,0.5444
test1511,0.8377
test1512,0.4012
test1513,0.4460
test1514,0.5024
test1515,0.6373
test1516,0.7051
test1517,0.5817
test1518,0.5560
test1519,0.7476
test1520,0.6679
test1521,0.7379
test1522,0.6873
test1523,0.5035
test1524,0.5020
test1525,0.7457
test1526,0.6959
test1527,0.9542
test1528,0.6869
test1529,0.5659
test1530,0.6318
test1531,0.6754
test1532,0.5508
test1533,0.4324
test1534,0.6589
test1535,0.5867
test1536,0.4420
test1537,0.6991
test1538,0.4779
test1539,0.5291
test1540,0.6711
test1541,0.7734
test1542,0.8321
test1543,0.2902
test1544,0.6974
test1545,0.5693
test1546,0.6688
test1547,0.6277
test1548,0.4587
test1549,0.5552
test1550,0.8009
test1551,0.5389
test1552,0.6263
test1553,0.4979
test1554,0.6828
test1555,0.8041
test1556,0.8053
test1557,0.7456
test1558,0.5719
test1559,0.7609
test1560,0.4893
test1561,0.8043
test1562,0.4935
test1563,0.4566
test1564,0.7162
test1565,0.7395
test1566,0.6831
test1567,0.4918
test1568,0.4835
test1569,0.5832
test1570,0.7703
test1571,0.5108
test1572,0.5254
test1573,0.6652
test1574,0.7237
test1575,0.6178
test1576,0.3519
test1577,0.8321
test1578,0.3727
test1579,0.6833
test1580,0.5087
test1581,0.6362
test1582,0.5376
test1583,0.6308
test1584,0.8049
test1585,0.6888
test1586,0.7013
test1587,0.5808
test1588,0.7005
test1589,0.5554
test1590,0.7609
test1591,0.5988
test1592,0.6188
test1593,0.7676
test1594,0.4835
test1595,0.5265
test1596,0.5382
test1597,0.7412
test1598,0.7128
test1599,0.6988
test1600,0.5595
test1601,0.5783
test1602,0.7541
test1603,0.4342
test1604,0.7181
test1605,0.5674
test1606,0.6675
test1607,0.4749
test1608,0.5624
test1609,0.5968
test1610,0.6772
test1611,0.6435
test1612,0.8288
test1613,0.7610
test1614,0.5674
test1615,0.5709
test1616,0.7014
test1617,0.5901
test1618,0.5479
test1619,0.5880
test1620,0.7251
test1621,0.5960
test1622,0.7670
test1623,0.9848
test1624,0.6437
test1625,0.6110
test1626,0.7250
test1627,0.6552
test1628,0.7070
test1629,0.6502
test1630,0.5028
test1631,0.8455
test1632,0.6329
test1633,0.5333
test1634,0.6334
test1635,0.2840
test1636,0.6617
test1637,0.8010
test1638,0.5577
test1639,0.7394
test1640,0.7259
test1641,0.7445
test1642,0.6321
test1643,0.5987
test1644,0.6584
test1645,0.4383
test1646,0.6767
test1647,0.5874
test1648,0.6879
test1649,0.5173
test1650,0.6788
test1651,0.7278
test1652,0.4554
test1653,0.8166
test1654,0.5889
test1655,0.6950
test1656,0.6205
test1657,0.5391
test1658,0.8260
test1659,0.5211
test1660,0.5167
test1661,0.5498
test1662,0.6921
test1663,0.4838
test1664,0.4926
